model,model_label,stage,side,metric,test,immrep,immrep_minus_test,rel_change,immrep_minus_test_ci_low,immrep_minus_test_ci_high
raw_esmc_vicreg,Raw ESMC + VICReg,pre_expander,peptide,median_pairwise_cosine,-2.958230040055529e-17,-1.221245327087672e-17,1.736984712967857e-17,1.736984712967857e-05,,
raw_esmc_vicreg,Raw ESMC + VICReg,pre_expander,hla,covariance_trace,0.015222032129581778,0.0,-0.015222032129581778,-1.0,,
raw_esmc_vicreg,Raw ESMC + VICReg,pre_expander,hla,median_pairwise_cosine,8.94579563105612e-05,-4.440892098500625e-17,-8.945795631060561e-05,-1.0000000000004965,,
raw_esmc_vicreg,Raw ESMC + VICReg,pre_expander,pmhc,covariance_trace,0.015222037408473268,0.0,-0.015222037408473268,-1.0,,
raw_esmc_vicreg,Raw ESMC + VICReg,pre_expander,pmhc,median_pairwise_cosine,0.0033256275291046375,-2.3314683517128283e-17,-0.003325627529104661,-1.000000000000007,,
raw_esmc_vicreg,Raw ESMC + VICReg,pre_expander,tcr,cliffs_delta_pn_vs_pp,0.4097969565765021,0.11401947855060393,-0.29577747802589816,,-0.40467372206155056,-0.178091031766002
raw_esmc_vicreg,Raw ESMC + VICReg,final_latent,tcr,covariance_trace,29.88531641851327,13.698149748548445,-16.187166669964824,-0.5416428068982145,,
raw_esmc_vicreg,Raw ESMC + VICReg,final_latent,tcr,median_pairwise_cosine,0.8926370111333616,0.2970682458372488,-0.5955687652961128,-0.6672015140173633,,
raw_esmc_vicreg,Raw ESMC + VICReg,final_latent,peptide,covariance_trace,1.9329547887223482e-08,0.0,-1.9329547887223482e-08,-1.0,,
raw_esmc_vicreg,Raw ESMC + VICReg,final_latent,peptide,median_pairwise_cosine,-2.7170314276769005e-17,-1.2212453270876724e-17,1.495786100589228e-17,1.4957861005892281e-05,,
raw_esmc_vicreg,Raw ESMC + VICReg,final_latent,hla,covariance_trace,0.026244569942902883,0.0,-0.026244569942902883,-1.0,,
raw_esmc_vicreg,Raw ESMC + VICReg,final_latent,hla,median_pairwise_cosine,0.002253992663450413,-9.992007221626407e-17,-0.0022539926634505126,-1.0000000000000442,,
raw_esmc_vicreg,Raw ESMC + VICReg,final_latent,pmhc,covariance_trace,0.026244589272450766,0.0,-0.026244589272450766,-1.0,,
raw_esmc_vicreg,Raw ESMC + VICReg,final_latent,pmhc,median_pairwise_cosine,0.001216123715506321,-1.3322676295501875e-17,-0.0012161237155063342,-1.0000000000000109,,
raw_esmc_vicreg,Raw ESMC + VICReg,final_latent,tcr,cliffs_delta_pn_vs_pp,0.3542605695515947,0.07196402832153269,-0.282296541230062,,-0.39147298624983656,-0.1709267851885078
lora_esmc_vicreg,LoRA ESMC + VICReg,input,tcr,covariance_trace,0.0169017633040721,0.016650876667978983,-0.0002508866360931179,-0.01484381431567394,,
lora_esmc_vicreg,LoRA ESMC + VICReg,input,tcr,median_pairwise_cosine,0.017377045759565515,0.01748670585450674,0.00010966009494122603,0.0063106293473884426,,
lora_esmc_vicreg,LoRA ESMC + VICReg,input,peptide,covariance_trace,2.377272197882423e-09,0.0,-2.377272197882423e-09,-1.0,,
lora_esmc_vicreg,LoRA ESMC + VICReg,input,peptide,median_pairwise_cosine,-5.3205576259991525e-18,-6.106226635438361e-17,-5.574170872838447e-17,-5.5741708728384465e-05,,
lora_esmc_vicreg,LoRA ESMC + VICReg,input,hla,covariance_trace,3.672906010208653e-05,0.0,-3.672906010208653e-05,-1.0,,
lora_esmc_vicreg,LoRA ESMC + VICReg,input,hla,median_pairwise_cosine,4.207028511304129e-06,-1.1102230246251565e-16,-4.2070285114151515e-06,-1.0000000000263898,,
lora_esmc_vicreg,LoRA ESMC + VICReg,input,pmhc,covariance_trace,3.673143737428441e-05,0.0,-3.673143737428441e-05,-1.0,,
