seed,split,model_name,k,purity_mean,random_purity_expected,purity_enrichment
31,test,onehot_composition,5,0.15035714285714286,0.033931765908510096,4.431161739785351
37,test,onehot_composition,5,0.15178571428571427,0.033931765908510096,4.47326303897571
43,test,onehot_composition,5,0.1475,0.033931765908510096,4.346959141404631
49,test,onehot_composition,5,0.14392857142857143,0.03393176590851009,4.241705893428733
55,test,onehot_composition,5,0.14892857142857144,0.03393176590851009,4.389060440594992
31,test,onehot_composition,10,0.10803571428571429,0.033931765908510096,3.1839107512709472
37,test,onehot_composition,10,0.11142857142857143,0.033931765908510096,3.283901336848051
43,test,onehot_composition,10,0.10178571428571428,0.033931765908510096,2.9997175673131236
49,test,onehot_composition,10,0.10482142857142858,0.03393176590851009,3.0891828280926386
55,test,onehot_composition,10,0.10821428571428572,0.03393176590851009,3.1891734136697427
31,test,onehot_composition,20,0.07955357142857142,0.033931765908510096,2.3445160986631515
37,test,onehot_composition,20,0.08232142857142857,0.033931765908510096,2.4260873658444737
43,test,onehot_composition,20,0.07544642857142857,0.033931765908510096,2.2234748634908676
49,test,onehot_composition,20,0.07660714285714287,0.03393176590851009,2.257682169083036
55,test,onehot_composition,20,0.07821428571428572,0.03393176590851009,2.3050461306721903
31,test,pretrained_esmc_meanpool,5,0.15678571428571428,0.033931765908510096,4.620617586141969
37,test,pretrained_esmc_meanpool,5,0.15035714285714286,0.033931765908510096,4.431161739785351
43,test,pretrained_esmc_meanpool,5,0.14857142857142858,0.033931765908510096,4.378535115797401
49,test,pretrained_esmc_meanpool,5,0.14928571428571427,0.03393176590851009,4.399585765392581
55,test,pretrained_esmc_meanpool,5,0.15750000000000003,0.03393176590851009,4.641668235737151
31,test,pretrained_esmc_meanpool,10,0.11196428571428571,0.033931765908510096,3.2996893240444356
37,test,pretrained_esmc_meanpool,10,0.10892857142857143,0.033931765908510096,3.210224063264922
43,test,pretrained_esmc_meanpool,10,0.10428571428571429,0.033931765908510096,3.073394840896253
49,test,pretrained_esmc_meanpool,10,0.10678571428571428,0.03393176590851009,3.1470721144793825
55,test,pretrained_esmc_meanpool,10,0.11446428571428573,0.03393176590851009,3.3733665976275664
31,test,pretrained_esmc_meanpool,20,0.08285714285714287,0.033931765908510096,2.441875353040859
37,test,pretrained_esmc_meanpool,20,0.07937499999999999,0.033931765908510096,2.3392534362643564
43,test,pretrained_esmc_meanpool,20,0.07696428571428572,0.033931765908510096,2.268207493880625
49,test,pretrained_esmc_meanpool,20,0.08008928571428572,0.03393176590851009,2.3603040858595374
55,test,pretrained_esmc_meanpool,20,0.08410714285714285,0.03393176590851009,2.4787139898324235
31,test,finetuned_esmc_meanpool,5,0.16321428571428573,0.033931765908510096,4.810073432498588
37,test,finetuned_esmc_meanpool,5,0.15392857142857141,0.033931765908510096,4.536414987761249
43,test,finetuned_esmc_meanpool,5,0.16035714285714286,0.033931765908510096,4.725870834117869
49,test,finetuned_esmc_meanpool,5,0.15142857142857144,0.03393176590851009,4.462737714178122
55,test,finetuned_esmc_meanpool,5,0.16607142857142856,0.03393176590851009,4.894276030879308
31,test,finetuned_esmc_meanpool,10,0.11535714285714285,0.033931765908510096,3.3996799096215398
37,test,finetuned_esmc_meanpool,10,0.11303571428571431,0.033931765908510096,3.331265298437206
43,test,finetuned_esmc_meanpool,10,0.11107142857142856,0.033931765908510096,3.273376012050461
49,test,finetuned_esmc_meanpool,10,0.11071428571428571,0.03393176590851009,3.2628506872528718
55,test,finetuned_esmc_meanpool,10,0.12000000000000001,0.03393176590851009,3.53650913199021
31,test,finetuned_esmc_meanpool,20,0.0907142857142857,0.033931765908510096,2.6734324985878364
37,test,finetuned_esmc_meanpool,20,0.08812500000000001,0.033931765908510096,2.59712389380531
43,test,finetuned_esmc_meanpool,20,0.08375,0.033931765908510096,2.4681886650348335
49,test,finetuned_esmc_meanpool,20,0.08357142857142857,0.03393176590851009,2.462926002636039
55,test,finetuned_esmc_meanpool,20,0.09178571428571429,0.03393176590851009,2.705008472980607
31,test,onehot_vicreg,5,0.2275,0.033931765908510096,6.704631896064771
37,test,onehot_vicreg,5,0.22071428571428572,0.033931765908510096,6.504650724910563
43,test,onehot_vicreg,5,0.22857142857142856,0.033931765908510096,6.73620787045754
49,test,onehot_vicreg,5,0.2289285714285714,0.03393176590851009,6.746733195255131
55,test,onehot_vicreg,5,0.22214285714285714,0.03393176590851009,6.546752024100924
31,test,onehot_vicreg,10,0.2005357142857143,0.033931765908510096,5.909969873846733
37,test,onehot_vicreg,10,0.19071428571428573,0.033931765908510096,5.620523441913011
43,test,onehot_vicreg,10,0.1992857142857143,0.033931765908510096,5.873131237055168
49,test,onehot_vicreg,10,0.20410714285714285,0.03393176590851009,6.015223121822633
55,test,onehot_vicreg,10,0.1923214285714286,0.03393176590851009,5.667887403502166
31,test,onehot_vicreg,20,0.16125000000000003,0.033931765908510096,4.752184146111844
37,test,onehot_vicreg,20,0.1561607142857143,0.033931765908510096,4.6021982677461875
43,test,onehot_vicreg,20,0.15375,0.033931765908510096,4.531152325362455
49,test,onehot_vicreg,20,0.16553571428571426,0.03393176590851009,4.878488043682922
55,test,onehot_vicreg,20,0.1563392857142857,0.03393176590851009,4.607460930144983
31,test,raw_esmc_vicreg,5,0.2182142857142857,0.033931765908510096,6.430973451327433
37,test,raw_esmc_vicreg,5,0.20357142857142857,0.033931765908510096,5.999435134626247
43,test,raw_esmc_vicreg,5,0.21607142857142858,0.033931765908510096,6.3678215025418945
49,test,raw_esmc_vicreg,5,0.22857142857142856,0.03393176590851009,6.736207870457542
