model,model_label,split,score_type,n_seeds,n,global_auroc_mean,global_auroc_std,peptide_weighted_auroc_mean,peptide_weighted_auroc_std,peptide_macro_auroc_mean,peptide_macro_auroc_std,peptide_macro_mcclish_pauc0.1_mean,peptide_macro_mcclish_pauc0.1_std,global_mcclish_pauc0.1_mean,global_mcclish_pauc0.1_std
finetuned_esmc_vicreg,LoRA ESMC VICReg,immrep_test,cosine_score,5,10000,0.5093526444444444,0.0030111498330843292,0.5132346666666666,0.00400633683242119,0.5132346666666667,0.0040063368324212,0.5044654970760234,0.0019891020070798722,0.4986927485380116,0.003732162152874798
finetuned_esmc_vicreg,LoRA ESMC VICReg,immrep_test,dot_product_score,5,10000,0.5113338222222221,0.005086321218792684,0.5125871111111111,0.004677562254206278,0.5125871111111111,0.004677562254206269,0.5059695906432748,0.002155946124100552,0.49757543859649117,0.0016925280930351625
finetuned_esmc_vicreg,LoRA ESMC VICReg,immrep_test,full_score,5,10000,0.5039736222222222,0.004083185436928601,0.510944,0.004814619044452996,0.5109440000000001,0.004814619044453031,0.5034479532163743,0.0028431807942565705,0.5003658479532164,0.003022774649419003
finetuned_esmc_vicreg,LoRA ESMC VICReg,immrep_test,normalised_mse_score,5,10000,0.5093526444444444,0.0030111498330843292,0.5132346666666666,0.00400633683242119,0.5132346666666667,0.0040063368324212,0.5044654970760234,0.0019891020070798722,0.4986927485380116,0.003732162152874798
finetuned_esmc_vicreg,LoRA ESMC VICReg,immrep_test,tcr_norm_score,5,10000,0.4999999999999999,6.206335383118183e-17,0.5,5.551115123125783e-17,0.5,1.1102230246251565e-16,0.5008,0.00033528718433857753,0.5,0.0
finetuned_esmc_vicreg,LoRA ESMC VICReg,test,cosine_score,5,3800,0.7739971745152354,0.009718696667195428,0.7646906438838675,0.005725258826180179,0.676867266223997,0.03490307174360564,0.7950280704303443,0.0199111080634849,0.623934975944015,0.003537816061714215
finetuned_esmc_vicreg,LoRA ESMC VICReg,test,dot_product_score,5,3800,0.7716972853185596,0.012325342867238655,0.764031261442738,0.007896904777568771,0.676641849952386,0.04274803552194308,0.7934119046139435,0.024711610882534304,0.619996792535355,0.00468662406123829
finetuned_esmc_vicreg,LoRA ESMC VICReg,test,full_score,5,3800,0.7864548476454294,0.005034883931866257,0.7725860060289195,0.004916052794341918,0.7189133193458066,0.0217873268479125,0.8157255852837979,0.011933684748782753,0.6151902609709871,0.006403453167026246
finetuned_esmc_vicreg,LoRA ESMC VICReg,test,normalised_mse_score,5,3800,0.7739971745152354,0.009718696667195428,0.7646906438838675,0.005725258826180179,0.676867266223997,0.03490307174360564,0.7950280704303443,0.0199111080634849,0.623934975944015,0.003537816061714215
finetuned_esmc_vicreg,LoRA ESMC VICReg,test,tcr_norm_score,5,3800,0.5,4.8074067159589095e-17,0.4963983998897737,0.0036535713467657736,0.6092077054809786,0.06661886002196503,0.7535973928504525,0.03528892267207214,0.5,0.0
onehot_vicreg,One-hot VICReg,immrep_test,cosine_score,5,10000,0.49751602222222224,0.010724416218650945,0.49878888888888884,0.011884570035902523,0.49878888888888895,0.011884570035902483,0.5005380116959064,0.00527728448554072,0.502026783625731,0.005406511269944259
onehot_vicreg,One-hot VICReg,immrep_test,dot_product_score,5,10000,0.4973128666666667,0.010321182337405702,0.49642,0.011628902477856896,0.4964199999999999,0.011628902477856945,0.5012000000000001,0.006231616923825803,0.5037929824561405,0.008289642190186826
onehot_vicreg,One-hot VICReg,immrep_test,full_score,5,10000,0.5044986222222222,0.011458802881854007,0.5042622222222223,0.011459028463763128,0.5042622222222223,0.01145902846376312,0.5013871345029239,0.002396656472002902,0.5011833918128655,0.004010059650453047
