model,model_label,split,stage,side,metric,peptide_balanced_mean,ci_low,ci_high,n_peptides
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,pmhc,median_pairwise_cosine,-6.6613381477509405e-18,-3.4444669338995485e-17,2.331468351712829e-17,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,tcr,mean_latent_norm,2.437423005017748,2.4301987139542574,2.4446472960812384,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,tcr,covariance_trace,2.821141275736019,2.8154280033035506,2.8268545481684866,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,tcr,mean_var_per_dim,0.011020083108343823,0.010997765637904494,0.01104240057878315,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,tcr,median_pairwise_cosine,0.4641554881121527,0.46004128641436837,0.468222402247406,20
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,hla,mean_latent_norm,3.0046717577875155,2.930324538564246,3.080475302126219,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,hla,covariance_trace,0.026460367467211855,9.64335033548576e-05,0.07281129478980243,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,hla,mean_var_per_dim,0.0003436411359378163,1.252384903581761e-06,0.0010262554536603905,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,hla,median_pairwise_cosine,0.0012795594296597112,3.390968726970127e-17,0.003761648055131486,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,peptide,mean_latent_norm,3.865045608929115,3.762069527004247,3.974515020955917,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,peptide,covariance_trace,1.2895427996565602e-08,5.918513182761855e-18,3.655741343095391e-08,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,peptide,mean_var_per_dim,7.20414971875173e-11,3.3064319456770143e-20,2.0423135984615892e-10,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,peptide,median_pairwise_cosine,-1.8160836696743775e-17,-2.575327242904457e-17,-1.0568400964442992e-17,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,pmhc,mean_latent_norm,4.999429352911687,4.916028400945825,5.087668758628378,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,pmhc,covariance_trace,0.02646038036263985,9.644193132962927e-05,0.07288266853789653,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,pmhc,mean_var_per_dim,0.00010336086079156192,3.7667818873574425e-07,0.0002845101086339684,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,pmhc,median_pairwise_cosine,0.0020243729990844666,-7.59243573230079e-18,0.006054845887002556,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,tcr,mean_latent_norm,5.629630417408633,5.558010167499297,5.702368003607049,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,tcr,covariance_trace,30.38067954147471,28.913936825807646,31.930214762898427,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,tcr,mean_var_per_dim,0.11867452945888558,0.11321643469520086,0.12462686570510942,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,tcr,median_pairwise_cosine,0.9301712380322967,0.8899931147239032,0.9704902764096516,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,hla,mean_latent_norm,1.2046854327348033,1.1951503618354515,1.2139724422783076,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,hla,covariance_trace,3.672906010208653e-05,1.0649603611748755e-06,0.00010144706063696013,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,hla,mean_var_per_dim,3.8259437606340133e-08,1.1092943527704414e-09,1.0622780244803712e-07,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,hla,median_pairwise_cosine,4.207028511304129e-06,-1.440097597437104e-16,1.088942591228927e-05,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,peptide,mean_latent_norm,1.113519109293806,1.1091637840920407,1.1178503943106854,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,peptide,covariance_trace,2.377272197882423e-09,0.0,6.188068386390275e-09,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,peptide,mean_var_per_dim,2.4763252061275236e-12,0.0,6.4459045691565365e-12,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,peptide,median_pairwise_cosine,-5.3205576259991525e-18,-2.341045355439627e-17,1.2769338302397966e-17,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,pmhc,mean_latent_norm,1.6420645870551072,1.6343800143854992,1.6491020327824926,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,pmhc,covariance_trace,3.673143737428441e-05,1.067863233562728e-06,0.00010489887635853604,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,pmhc,mean_var_per_dim,1.913095696577313e-08,5.556302474344468e-10,5.2972351478664144e-08,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,pmhc,median_pairwise_cosine,2.1395130184051172e-06,1.9863415137063503e-17,5.624300768235308e-06,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,tcr,mean_latent_norm,0.9341697781220242,0.9317112295899911,0.936738891959896,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,tcr,covariance_trace,0.0169017633040721,0.016188396128164313,0.017658416276015578,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,tcr,mean_var_per_dim,1.7606003441741772e-05,1.6841121396778887e-05,1.8413771032121933e-05,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,tcr,median_pairwise_cosine,0.017377045759565515,0.01664617474448952,0.018118383836047504,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,hla,mean_latent_norm,2.510197178226937,2.4652802363237485,2.559429003713416,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,hla,covariance_trace,0.013955124340442653,0.00039403161144955666,0.03753514074063275,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,hla,mean_var_per_dim,0.0001812353810447098,5.1175369089690965e-06,0.00047952422106567027,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,hla,median_pairwise_cosine,0.0023081342198818123,-7.079888680996206e-17,0.00662122482951063,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,peptide,mean_latent_norm,0.7008088246132984,0.6832877500066813,0.7205289591270492,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,peptide,covariance_trace,8.151090137042525e-09,9.292461054222485e-19,2.1119683620968256e-08,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,peptide,mean_var_per_dim,4.5536816408058784e-11,5.191319024705299e-21,1.2610195456370336e-10,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,peptide,median_pairwise_cosine,-3.121393807252836e-17,-3.838072919474922e-17,-2.3692443108574234e-17,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,pmhc,mean_latent_norm,2.61502625007563,2.5668930546684146,2.664750621999178,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,pmhc,covariance_trace,0.013955132491532789,0.00039402369564795224,0.037945442231043236,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,pmhc,mean_var_per_dim,5.4512236295049956e-05,1.5392047597763066e-06,0.00014115576894821986,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,pmhc,median_pairwise_cosine,0.0013976946836970466,-1.7167665939890598e-17,0.003570196426175799,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,tcr,mean_latent_norm,2.1306051614669475,2.111313512069849,2.1497299695541066,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,tcr,covariance_trace,3.9197771006619746,3.81532613678092,4.034361361946432,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,tcr,mean_var_per_dim,0.015311629299460838,0.014890374251367805,0.015757517829788712,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,tcr,median_pairwise_cosine,0.8538919944935934,0.8377691181274353,0.8701579193872199,313
lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,hla,mean_latent_norm,3.0745198271985146,3.020815075865505,3.128074973662615,925
