model,alpha,beta,delta,d,seed,best_epoch,cell,val_peptide_weighted_auroc,val_peptide_macro_auroc,val_global_auroc,val_peptide_weighted_auc0.1_mcclish,val_global_auc0.1_mcclish,test_peptide_weighted_auroc,test_peptide_macro_auroc,test_global_auroc,test_peptide_weighted_auc0.1_mcclish,test_global_auc0.1_mcclish,immrep_test_peptide_weighted_auroc,immrep_test_peptide_macro_auroc,immrep_test_global_auroc,immrep_test_peptide_weighted_auc0.1_mcclish,immrep_test_global_auc0.1_mcclish
lora_esmc_vicreg,1.0,1.0,1.0,64,31,22,a1_d64,0.7885598272468888,0.7657341490014483,0.7830225911812738,0.6896370797635087,0.6222274664973755,0.7655694769702365,0.7041690046340416,0.7654736842105263,0.6710396484854537,0.6151042426009623,0.5181022222222222,0.5181022222222222,0.5121248888888889,0.5049122807017545,0.5084146198830409
lora_esmc_vicreg,1.0,1.0,1.0,128,31,28,a1_d128,0.7785499865883231,0.7198083474094523,0.7592277168151734,0.6818049810132814,0.6159770612388922,0.7736620438447177,0.7470748341113893,0.7508529085872577,0.6741414036176684,0.6109651552704476,0.5076022222222222,0.5076022222222222,0.5058356666666667,0.5014619883040936,0.5041093567251462
lora_esmc_vicreg,1.0,1.0,1.0,256,31,24,a1_d256,0.7813025006765327,0.7446942100410633,0.7500053720310575,0.6858492591010024,0.6187724023119714,0.7593019363101704,0.7074851251043301,0.7342204986149584,0.6730127547117774,0.6095494970112262,0.49843999999999994,0.4984400000000001,0.49569694444444445,0.4986666666666666,0.4983877192982456
lora_esmc_vicreg,25.0,25.0,1.0,64,31,16,a25_d64,0.7841439998699112,0.743160656534626,0.7947894880096268,0.6761649815363386,0.5751552799714095,0.760048820462615,0.7159271389608193,0.7714360110803323,0.6558411517846124,0.5633518005540166,0.5069488888888888,0.5069488888888889,0.5010093333333333,0.503578947368421,0.5016707602339181
lora_esmc_vicreg,25.0,25.0,1.0,128,31,24,a25_d128,0.7978482820563159,0.7461276789587542,0.8075888892072316,0.6924037757368762,0.6066862748941804,0.7724375629148272,0.7106414617891793,0.7854096952908587,0.6741817814243599,0.5934421927394664,0.5056977777777778,0.5056977777777777,0.4953954444444445,0.5022456140350878,0.49841929824561404
lora_esmc_vicreg,25.0,25.0,1.0,256,31,24,a25_d256,0.792512980451707,0.7555215239871671,0.8071756009512076,0.6830378116954083,0.6149742821081584,0.7730490920755753,0.7076575191527298,0.7884238227146815,0.6766682770449367,0.6210176410555475,0.511411111111111,0.511411111111111,0.5025031666666666,0.5044561403508772,0.4990017543859649
lora_esmc_vicreg,50.0,50.0,1.0,64,31,5,a50_d64,0.7746726755982787,0.7581917713291819,0.767870240380483,0.6596819597757271,0.5517181451752753,0.7429146530381656,0.7211292707346384,0.749008864265928,0.6404924066907366,0.5438285464353404,0.49858222222222237,0.49858222222222226,0.5017312777777778,0.4991812865497075,0.5018023391812866
lora_esmc_vicreg,50.0,50.0,1.0,128,31,21,a50_d128,0.7843604933828208,0.727760270224273,0.7954330573303154,0.6818968681916923,0.5768780997561663,0.7616533547584297,0.7189514223470028,0.773226592797784,0.6631603382193537,0.5613165184429217,0.5032599999999999,0.5032599999999998,0.49479899999999993,0.5031228070175437,0.49559649122807015
lora_esmc_vicreg,50.0,50.0,1.0,256,31,24,a50_d256,0.7935716882179003,0.7249803042715223,0.8091578804114259,0.6813147700762787,0.6090085002495638,0.7654844207000842,0.6997048656937561,0.7813180055401662,0.6713785466767133,0.5990727511299023,0.5100266666666666,0.5100266666666667,0.5032870555555555,0.5018830409356725,0.5000198830409357
onehot_vicreg,1.0,1.0,1.0,64,31,25,a1_d64,0.7241276430249266,0.6163033785113528,0.6908045153711716,0.6545170319195585,0.5692818593485404,0.70344965066123,0.6316008370864632,0.6797110803324099,0.6337915697428479,0.5657719784225106,0.5110733333333333,0.5110733333333335,0.5100507777777777,0.49985964912280695,0.5007415204678363
onehot_vicreg,1.0,1.0,1.0,128,31,23,a1_d128,0.7218848723541208,0.5982525461191888,0.6818346560467582,0.6615011984790891,0.5743146042339898,0.7054997383809224,0.6500193718903716,0.6706476454293628,0.6310927502589487,0.5592141711619769,0.5117733333333334,0.5117733333333334,0.5156182222222222,0.5042339181286549,0.505
onehot_vicreg,1.0,1.0,1.0,256,31,23,a1_d256,0.7142493333963545,0.5870059052786053,0.6646599146205198,0.6566218923723455,0.5670293761507456,0.699891379768247,0.652728592189765,0.6505590027700832,0.6407049464868321,0.5600933080623998,0.5060766666666665,0.5060766666666665,0.5060298888888889,0.4969122807017544,0.5019877192982456
onehot_vicreg,25.0,25.0,1.0,64,31,10,a25_d64,0.7395420791352978,0.6336478618973151,0.7213305446523222,0.6578773255390176,0.5384746749261488,0.7175798098412531,0.6312121059692132,0.7095637119113573,0.6334034201421005,0.5391062837148273,0.4940511111111111,0.4940511111111112,0.4939388888888889,0.49856140350877187,0.495606432748538
onehot_vicreg,25.0,25.0,1.0,128,31,6,a25_d128,0.7474516600588789,0.6718871740439596,0.7357247228031973,0.6683106461723454,0.5608374035107825,0.718772761834686,0.6370773472071296,0.7236659279778392,0.635361681826024,0.5446785245662633,0.49449333333333345,0.49449333333333334,0.4966795,0.49785964912280706,0.49529298245614034
onehot_vicreg,25.0,25.0,1.0,256,31,22,a25_d256,0.7568692237510224,0.6497589234478464,0.734312594905882,0.6821419605178064,0.5752551808998473,0.7407138049174932,0.6592433723350452,0.7223321329639888,0.6613096036248889,0.5670228896340574,0.5242066666666667,0.5242066666666667,0.5239913333333334,0.5035087719298246,0.5015859649122807
onehot_vicreg,50.0,50.0,1.0,64,31,21,a50_d64,0.7430068024090429,0.7039229559577491,0.7217649628971721,0.6618304654069402,0.5338283392922039,0.7192458983591182,0.6564863389455027,0.7112742382271467,0.6384213400007274,0.5378859892112553,0.49719111111111114,0.49719111111111103,0.49522166666666667,0.4994853801169591,0.49957309941520467
onehot_vicreg,50.0,50.0,1.0,128,31,8,a50_d128,0.7540890662042529,0.7084199240009187,0.733886771910724,0.6685199541856097,0.5426441249960416,0.7320586155998354,0.6866182641940701,0.7260058171745152,0.643845122357677,0.5360664819944598,0.5079000000000001,0.5079,0.511795,0.4994853801169591,0.5030836257309942
onehot_vicreg,50.0,50.0,1.0,256,31,22,a50_d256,0.7627245430619949,0.6756988983559228,0.736951336561327,0.6798331474984333,0.5532128892554855,0.7505274263515813,0.6830416288588065,0.73091108033241,0.6615505207876272,0.5474398600379065,0.5032133333333334,0.5032133333333333,0.5082577222222222,0.49998830409356726,0.5016356725146198
raw_esmc_vicreg,1.0,1.0,1.0,64,31,21,a1_d64,0.7773584696972536,0.7254839760903656,0.7790186373664155,0.6799693028598539,0.6234696308717242,0.753042847587293,0.6821681570339352,0.7638185595567866,0.6668971262701562,0.6169762356028576,0.5044977777777779,0.5044977777777777,0.5078427222222223,0.5053801169590643,0.5016023391812865
raw_esmc_vicreg,1.0,1.0,1.0,128,31,19,a1_d128,0.7786519564040836,0.7448411243078938,0.7672542474858894,0.6804112167606546,0.6258107054588883,0.7557422637610105,0.6907552084404331,0.7579177285318559,0.6650766640384566,0.6113748359819215,0.5004555555555555,0.5004555555555557,0.5040156111111112,0.504736842105263,0.4967748538011696
raw_esmc_vicreg,1.0,1.0,1.0,256,31,25,a1_d256,0.783967503704608,0.7591966679139311,0.7505868048591813,0.691928929219123,0.6258785626932989,0.7603910388561425,0.7326600533341516,0.7326077562326869,0.6711202757947853,0.6053462603878117,0.5176977777777778,0.5176977777777779,0.5177658333333334,0.5118713450292397,0.5068678362573099
raw_esmc_vicreg,25.0,25.0,1.0,64,31,28,a25_d64,0.7964874428143773,0.7855450888532813,0.8006274532275164,0.6789242348305088,0.57718722715737,0.7540029363948952,0.6957365405866512,0.7745117728531856,0.658940473237823,0.5685974631870535,0.5153644444444445,0.5153644444444445,0.5051187777777778,0.5016608187134503,0.502946783625731
raw_esmc_vicreg,25.0,25.0,1.0,128,31,23,a25_d128,0.7946254526076366,0.7432218858375872,0.8088935764833968,0.6908089472037141,0.6068502632106726,0.7781763780947408,0.719075970498463,0.7910947368421052,0.6689360090858251,0.6077649803178307,0.5033733333333332,0.5033733333333332,0.5016555555555555,0.5023040935672515,0.5048456140350878
raw_esmc_vicreg,25.0,25.0,1.0,256,31,26,a25_d256,0.8022021904709288,0.7668387512107037,0.8135410996189439,0.6918625686558413,0.6261254876296262,0.7764469454811546,0.7204787381711374,0.7945529085872576,0.6772774876748677,0.6251625601399621,0.5182355555555554,0.5182355555555556,0.5200646666666666,0.5107368421052632,0.5060251461988304
raw_esmc_vicreg,50.0,50.0,1.0,64,31,30,a50_d64,0.7792975430663293,0.7553301827768109,0.7802574277282756,0.6644816549188973,0.5532072344859513,0.7357025434026426,0.6684341844639442,0.7553650969529085,0.6352767224731024,0.5475025513923313,0.5026577777777779,0.5026577777777778,0.4950326666666667,0.5006549707602339,0.5008690058479532
raw_esmc_vicreg,50.0,50.0,1.0,128,31,19,a50_d128,0.7846517001875899,0.7552492665722447,0.7844497607655503,0.6731716984164736,0.5640229236817225,0.7565781186499879,0.6795207639989755,0.7679930747922438,0.6605155424732138,0.5585872576177285,0.5034044444444445,0.5034044444444444,0.5027646111111111,0.5045146198830409,0.49985672514619883
raw_esmc_vicreg,50.0,50.0,1.0,256,31,22,a50_d256,0.7932832906303339,0.7456304221755644,0.8067497779560496,0.6870798799554433,0.6088935199357015,0.7708399715552386,0.693283771931836,0.7885263157894737,0.6676370678789405,0.597171599358507,0.5102977777777777,0.5102977777777779,0.5130045,0.5038362573099415,0.4999093567251462
