split,category,model,metric,mean,std,n_seeds,seeds,n_pairs,n_pos,n_neg,n_peptides,n_pep_n_le_2,frac_pairs_n_le_2,note
test,both_seen,finetuned_esmc_meanpool,pep_w_auroc_min2each,,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,both_seen,onehot_composition,global_auroc,0.5,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,both_seen,onehot_composition,global_auprc,0.5,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,both_seen,onehot_composition,pep_w_auroc,0.0,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,both_seen,onehot_composition,pep_w_auroc_min2each,,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,both_seen,onehot_vicreg,global_auroc,1.0,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,both_seen,onehot_vicreg,global_auprc,1.0,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,both_seen,onehot_vicreg,pep_w_auroc,1.0,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,both_seen,onehot_vicreg,pep_w_auroc_min2each,,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,both_seen,pretrained_esmc_meanpool,global_auroc,0.5,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,both_seen,pretrained_esmc_meanpool,global_auprc,0.5,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,both_seen,pretrained_esmc_meanpool,pep_w_auroc,1.0,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,both_seen,pretrained_esmc_meanpool,pep_w_auroc_min2each,,0.0,5,"31,37,43,49,55",3,1,2,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,completely_unseen,esm_vicreg_finetuned,global_auroc,0.7089052514587385,0.0230312683869133,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,esm_vicreg_finetuned,global_auprc,0.7244034964398078,0.027187329484889073,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,esm_vicreg_finetuned,pep_w_auroc,0.705440251572327,0.03310683848750694,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,esm_vicreg_finetuned,pep_w_auroc_min2each,0.788421052631579,0.044206523071329815,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,esm_vicreg_raw,global_auroc,0.7258266185051403,0.020515571994652017,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
test,completely_unseen,esm_vicreg_raw,global_auprc,0.7307371836109386,0.006135149984291624,5,"31,37,43,49,55",240,118,122,106,85.0,0.6041666666666666,majority_pairs_in_n<=2_peptides
