model,model_label,stage,stage_label,mse_ratio,cosine_delta,norm_ratio,covariance_ratio,test_cliffs_delta,immrep_cliffs_delta
onehot_vicreg,One-hot + VICReg,input,Input,0.9903795957721312,-0.0009004651589091,1.009155107624723,1.0288130063518626,0.1825002845450353,0.1219844131611828
onehot_vicreg,One-hot + VICReg,pre_expander,Pre-exp.,0.9058781010293072,0.0047472726097163,0.9556634006959588,0.9118894695822918,0.2568994908527561,0.1092477201166181
onehot_vicreg,One-hot + VICReg,final_latent,Final,0.7719864031224586,0.0044781336745176,0.9695052797772188,1.0532201527833578,0.2532972455314273,0.1077598067471886
raw_esmc_vicreg,Raw ESMC + VICReg,input,Input,0.9888078687354048,0.0012194431909573,0.9859210359810076,1.0913368377844936,0.163097248903668,0.1228616476468138
raw_esmc_vicreg,Raw ESMC + VICReg,pre_expander,Pre-exp.,0.7138327712133162,-0.391651894190806,1.1505729790248465,0.7346527167577541,0.4097969565765021,0.1140194785506039
raw_esmc_vicreg,Raw ESMC + VICReg,final_latent,Final,0.2655113976151631,-0.5955687652961128,0.9107653412729012,0.458357193690005,0.3542605695515947,0.0719640283215326
lora_esmc_vicreg,LoRA ESMC + VICReg,input,Input,0.9326157131808048,0.0001096600949412,0.9837374282418974,0.985156185684326,0.2362522335109724,0.1318256193252811
lora_esmc_vicreg,LoRA ESMC + VICReg,pre_expander,Pre-exp.,0.7010999519379618,-0.3897365063814407,1.1440050184141153,0.7197198216080843,0.4070370752245715,0.1137735276967929
lora_esmc_vicreg,LoRA ESMC + VICReg,final_latent,Final,0.3068152638984355,-0.6072780412769828,0.9676084236009844,0.4876168078897207,0.3274655291372743,0.081177162848813
